epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,272.327,1.23589,1.99739,1.09245,0.69183,0.54566,0.63048,0.43932,1.15357,1.68989,1.05378,0.000414095,0.000414095,0.000414095
2,532.959,1.13743,1.25751,1.06682,0.74495,0.63053,0.72682,0.5124,1.03509,1.23155,1.04647,0.000822537,0.000822537,0.000822537
3,792.428,1.12534,1.16958,1.06366,0.72488,0.64542,0.71952,0.51111,1.04876,1.14828,1.04175,0.00122273,0.00122273,0.00122273
4,1055.43,1.11364,1.11911,1.06206,0.76853,0.65785,0.74021,0.52668,1.07152,1.14878,1.04922,0.00121287,0.00121287,0.00121287
5,1311.94,1.08423,1.04836,1.05082,0.79411,0.68712,0.78217,0.56442,1.01174,0.97322,1.00876,0.0012005,0.0012005,0.0012005
6,1521.12,1.07872,1.02456,1.05005,0.76894,0.70159,0.78613,0.57964,0.99682,1.05364,1.03385,0.00118812,0.00118812,0.00118812
7,1676.58,1.04391,0.96877,1.03385,0.77588,0.66751,0.75823,0.54438,1.06767,1.01704,1.05598,0.00117575,0.00117575,0.00117575
8,1833.78,1.04412,0.94826,1.03507,0.78151,0.70548,0.79204,0.59096,0.96765,0.92578,1.01056,0.00116337,0.00116337,0.00116337
9,1990.79,1.03015,0.93089,1.02974,0.82058,0.73239,0.826,0.61614,0.94572,0.86625,1.00592,0.001151,0.001151,0.001151
10,2145.92,1.02845,0.91434,1.02896,0.80522,0.74215,0.83035,0.62566,0.92846,0.8445,0.99736,0.00113863,0.00113863,0.00113863
11,2301.67,1.00372,0.88767,1.01991,0.81638,0.74389,0.82684,0.61812,0.927,0.84738,0.99559,0.00112625,0.00112625,0.00112625
12,2462.67,1.00212,0.87803,1.01846,0.79123,0.71081,0.79548,0.59257,0.96472,0.92209,1.01229,0.00111388,0.00111388,0.00111388
13,2624.29,1.00057,0.87568,1.01706,0.80989,0.75088,0.83108,0.62633,0.91821,0.83153,0.98777,0.0011015,0.0011015,0.0011015
14,2781.81,0.99204,0.86362,1.01276,0.84168,0.75378,0.84106,0.63581,0.90439,0.79893,0.9866,0.00108913,0.00108913,0.00108913
15,2938.58,0.99185,0.8466,1.01592,0.82838,0.74746,0.8345,0.63048,0.94054,0.82611,1.00178,0.00107675,0.00107675,0.00107675
16,3098.03,0.97782,0.84656,1.01002,0.82445,0.75352,0.83834,0.63537,0.89581,0.79811,0.98619,0.00106437,0.00106437,0.00106437
17,3256.72,0.9715,0.83066,1.00845,0.81589,0.75962,0.835,0.63531,0.89377,0.7949,0.9841,0.001052,0.001052,0.001052
18,3416.78,0.96528,0.82012,1.00643,0.794,0.76612,0.83374,0.6277,0.9126,0.82035,0.99121,0.00103962,0.00103962,0.00103962
